iter	Passed	Remaining
0	56	56016
1	56	28431
2	57	19042
3	57	14343
4	58	11714
5	59	9810
6	59	8435
7	59	7404
8	59	6605
9	60	5963
10	60	5442
11	60	5006
12	61	4635
13	61	4315
14	61	4048
15	62	3817
16	62	3606
17	62	3417
18	63	3297
19	64	3149
20	65	3051
21	66	2976
22	67	2856
23	67	2747
24	67	2645
25	68	2570
26	69	2505
27	70	2441
28	71	2404
29	72	2342
30	73	2285
31	73	2228
32	74	2173
33	74	2124
34	75	2069
35	75	2017
36	75	1967
37	75	1920
38	76	1875
39	76	1834
40	76	1794
41	77	1756
42	77	1728
43	78	1700
44	79	1689
45	80	1660
46	80	1635
47	81	1608
48	81	1580
49	82	1558
50	82	1534
51	83	1513
52	84	1504
53	84	1488
54	86	1480
55	86	1457
56	87	1445
57	87	1424
58	87	1403
59	88	1383
60	88	1363
61	89	1348
62	89	1337
63	90	1320
64	90	1303
65	91	1298
66	92	1281
67	92	1265
68	92	1251
69	93	1241
70	93	1227
71	94	1211
72	94	1202
73	95	1195
74	95	1181
75	96	1168
76	96	1155
77	96	1142
78	96	1130
79	97	1118
80	98	1115
81	98	1105
82	99	1096
83	99	1089
84	100	1081
85	101	1074
86	101	1063
87	101	1053
88	101	1043
89	102	1033
90	102	1025
91	103	1019
92	104	1014
93	104	1011
94	105	1005
95	105	996
96	106	987
97	107	985
98	107	981
99	108	975
100	109	970
101	110	969
102	110	962
103	111	958
104	112	954
105	112	947
106	114	954
107	114	946
108	114	939
109	115	932
110	115	925
111	115	918
112	116	911
113	116	904
114	116	897
115	116	890
116	117	883
117	117	877
118	117	870
119	117	864
120	118	860
121	118	854
122	119	848
123	119	842
124	119	837
125	119	831
126	120	825
127	120	819
128	120	814
129	120	809
130	121	804
131	121	799
132	121	794
133	122	789
134	122	784
135	122	779
136	123	775
137	123	770
138	123	765
139	124	764
140	125	762
141	125	757
142	127	762
143	127	758
144	127	753
145	128	749
146	131	761
147	131	756
148	131	752
149	132	748
150	132	743
151	132	739
152	132	735
153	133	732
154	133	729
155	134	725
156	135	724
157	135	721
158	135	718
159	136	715
160	136	710
161	136	708
162	137	704
163	137	701
164	137	697
165	138	693
166	138	690
167	138	686
168	138	683
169	139	679
170	140	681
171	140	678
172	145	694
173	145	691
174	145	687
175	146	683
176	146	680
177	146	677
178	146	674
179	147	670
180	147	667
181	147	664
182	148	661
183	148	657
184	148	654
185	148	651
186	149	649
187	149	647
188	150	644
189	150	641
190	151	641
191	152	640
192	152	639
193	153	638
194	154	636
195	154	633
196	154	631
197	155	628
198	155	625
199	155	622
200	156	621
201	156	619
202	157	618
203	157	615
204	158	613
205	158	610
206	158	607
207	159	605
208	159	603
209	159	600
210	160	598
211	160	595
212	160	593
213	160	590
214	161	588
215	161	587
216	162	585
217	162	583
218	162	580
219	163	578
220	163	575
221	163	573
222	164	573
223	165	572
224	165	570
225	165	568
226	166	566
227	166	565
228	167	564
229	170	570
230	171	571
231	172	571
232	172	569
233	173	567
234	173	565
235	174	563
236	174	561
237	174	560
238	175	557
239	175	556
240	176	554
241	176	552
242	176	550
243	176	548
244	177	545
245	177	543
246	177	541
247	177	539
248	178	537
249	178	535
250	178	533
251	178	531
252	180	533
253	181	532
254	181	531
255	182	529
256	182	527
257	182	525
258	182	523
259	183	521
260	183	519
261	184	519
262	184	518
263	186	519
264	187	519
265	188	519
266	188	517
267	188	515
268	189	513
269	189	512
270	189	510
271	189	508
272	190	506
273	190	504
274	190	503
275	191	501
276	191	499
277	191	497
278	191	496
279	192	495
280	192	493
281	193	492
282	193	491
283	194	489
284	194	487
285	195	487
286	195	485
287	195	483
288	195	482
289	196	480
290	196	478
291	196	477
292	197	475
293	197	473
294	197	473
295	198	472
296	198	470
297	199	470
298	200	468
299	200	467
300	200	465
301	200	464
302	201	462
303	201	461
304	201	459
305	202	458
306	202	456
307	202	455
308	202	453
309	203	452
310	203	450
311	203	449
312	204	447
313	204	446
314	204	444
315	205	444
316	205	443
317	206	442
318	207	442
319	208	442
320	208	441
321	209	440
322	209	439
323	210	438
324	210	436
325	210	435
326	211	435
327	212	434
328	212	433
329	213	433
330	213	432
331	214	432
332	215	431
333	215	430
334	216	429
335	216	427
336	216	426
337	217	425
338	217	423
339	217	422
340	217	420
341	218	419
342	218	418
343	218	416
344	218	415
345	219	414
346	219	413
347	219	411
348	220	410
349	220	409
350	220	407
351	220	406
352	221	405
353	221	403
354	221	402
355	221	401
356	222	400
357	222	398
358	222	397
359	223	396
360	223	395
361	223	394
362	223	392
363	224	392
364	225	391
365	225	390
366	225	388
367	226	388
368	226	387
369	226	386
370	226	384
371	228	385
372	230	386
373	230	385
374	230	384
375	230	383
376	231	382
377	231	380
378	231	379
379	232	378
380	232	377
381	232	376
382	232	375
383	233	374
384	233	372
385	233	371
386	234	370
387	234	369
388	234	368
389	234	367
390	235	366
391	235	365
392	235	364
393	235	362
394	236	361
395	236	360
396	236	359
397	237	358
398	237	357
399	237	356
400	237	355
401	238	354
402	238	353
403	239	352
404	239	351
405	240	351
406	240	350
407	243	354
408	244	353
409	245	352
410	245	352
411	247	352
412	248	353
413	248	352
414	249	351
415	249	350
416	249	349
417	249	348
418	250	346
419	250	345
420	250	344
421	251	343
422	251	342
423	251	341
424	251	340
425	252	339
426	252	338
427	252	337
428	252	336
429	253	335
430	253	334
431	253	333
432	254	333
433	254	332
434	254	331
435	255	330
436	256	330
437	257	330
438	258	330
439	258	329
440	259	328
441	260	328
442	260	327
443	261	327
444	262	326
445	262	325
446	262	324
447	262	323
448	263	322
449	263	322
450	264	321
451	265	321
452	265	320
453	265	319
454	266	318
455	266	318
456	266	317
457	267	316
458	267	315
459	267	314
460	268	313
461	268	312
462	268	311
463	268	310
464	269	310
465	269	309
466	270	308
467	270	307
468	271	307
469	271	306
470	271	305
471	272	304
472	272	303
473	273	303
474	273	302
475	273	301
476	274	300
477	274	299
478	275	299
479	275	298
480	276	298
481	276	297
482	277	296
483	277	295
484	277	294
485	278	294
486	278	293
487	278	292
488	279	291
489	279	290
490	279	289
491	279	288
492	280	288
493	280	287
494	280	286
495	281	285
496	281	284
497	281	283
498	281	283
499	282	282
500	282	281
501	282	280
502	282	279
503	283	278
504	283	277
505	283	276
506	283	276
507	284	275
508	285	275
509	285	274
510	285	273
511	286	272
512	286	272
513	287	271
514	287	270
515	287	269
516	287	268
517	288	268
518	288	267
519	289	267
520	290	266
521	290	266
522	291	265
523	291	264
524	292	264
525	292	263
526	292	262
527	292	261
528	293	261
529	293	260
530	293	259
531	294	258
532	294	257
533	294	257
534	294	256
535	295	255
536	295	254
537	295	254
538	296	253
539	296	252
540	296	251
541	296	250
542	297	250
543	297	249
544	297	248
545	297	247
546	298	246
547	298	246
548	298	245
549	298	244
550	299	243
551	299	243
552	300	242
553	301	242
554	301	241
